Pipe NPS,Actual Outside Diameter (in),Pipe Schedule,Wall Thickness (in),Weight (lb/ft),Weight (kg/m)
14,14,120,1.094,151,224.713
,,,,,
14,14,--,1.125,155,230.665
,,,,,
14,14,140,1.25,171,254.476
,,,,,
14,14,--,1.375,186,276.799
,,,,,
14,14,160,1.406,190,282.751
,,,,,
14,14,--,1.5,200,297.633
,,,,,
 , , , , , 
,,,,,
16,16,10 Ga.,0.134,23,34.228
,,,,,
16,16,8 Ga.,0.164,28,41.669
,,,,,
16,16,--,0.188,32,47.621
,,,,,
16,16,6 Ga.,0.194,33,49.109
,,,,,
16,16,API,0.219,37,55.062
,,,,,
16,16,3 Ga.,0.239,40,59.527
,,,,,
16,16,10,0.25,42,62.503
,,,,,
16,16,API,0.281,47,69.944
,,,,,
16,16,20,0.312,52,77.385
,,,,,
16,16,API,0.344,57,84.825
,,,,,
16,16,Std.,0.375,63,93.754
,,,,,
16,16,API,0.438,73,108.636
,,,,,
16,16,X-Stg.,0.5,83,123.518
,,,,,
16,16,--,0.625,103,153.281
,,,,,
16,16,60,0.656,108,160.722
,,,,,
16,16,--,0.75,122,181.556
,,,,,
16,16,80,0.844,137,203.878
,,,,,
16,16,--,0.875,141,209.831
,,,,,
16,16,--,1,160,238.106
,,,,,
16,16,100,1.031,165,245.547
,,,,,
16,16,--,1.125,179,266.381
,,,,,
16,16,120,1.219,193,287.216
,,,,,
16,16,--,1.25,197,293.168
,,,,,
16,16,--,1.375,215,319.955
,,,,,
16,16,140,1.438,224,333.349
,,,,,
16,16,--,1.5,232,345.254
,,,,,
16,16,160,1.594,245,364.6
,,,,,
 , , , , , 
,,,,,
18,18,10 Ga.,0.134,26,38.692
,,,,,
18,18,8 Ga.,0.164,31,46.133
,,,,,
18,18,6 Ga.,0.194,37,55.062
,,,,,
18,18,3 Ga.,0.239,45,66.967
,,,,,
18,18,10,0.25,47,69.944
,,,,,
18,18,API,0.281,49,72.92
,,,,,
18,18,20,0.312,59,87.802
,,,,,
18,18,API,0.344,65,96.731
,,,,,
18,18,Std.,0.375,71,105.66
,,,,,
18,18,API,0.406,76,113.1
,,,,,
18,18,30,0.438,82,122.029
,,,,,
18,18,X-Stg.,0.5,93,138.399
,,,,,
18,18,40,0.562,105,156.257
,,,,,
18,18,--,0.625,116,172.627
,,,,,
18,18,60,0.75,138,205.367
,,,,,
18,18,--,0.875,160,238.106
,,,,,
